,BreedName,Group1,Group2,MaleWtKg,Temperment,AvgPupPrice,Intelligence,Watchdog
149,American Hairless Terrier,Terrier,Terrier,5.0,"Alert, Lively, Loving, Intelligent, Inquisitive, Playful",400.0,,3.0
150,Briard,Herding,Gun,35.0,"Faithful, Fearless, Intelligent, Loyal, Obedient, Protective",1100.0,30.0,6.0
151,Norfolk Terrier,Terrier,Terrier,5.0,"Companionable, Fearless, Happy, Lovable, Self-confident, Spirited, Intelligent",2250.0,56.0,3.0
152,Kerry Blue Terrier,Terrier,Terrier,17.0,"Affectionate, Alert, Gentle, Loyal, Spirited, Strong-willed, Intelligent",550.0,35.0,5.0
153,Black and Tan Coonhound,Hound,Scenthound,55.0,"Adaptable, Easygoing, Even-tempered, Gentle, Lovable, Trusting, Intelligent",350.0,44.0,3.0
154,Coonhound,Hound,Scenthound,55.0,"Adaptable, Easygoing, Even-tempered, Gentle, Lovable, Trusting, Intelligent",350.0,44.0,3.0
155,Treeing Walker Coonhound,Hound,Scenthound,28.0,"Affectionate, Clever, Confident, Loving, Trainable",500.0,,3.0
156,Bluetick Coonhound,Hound,Scenthound,28.0,"Friendly, Active, Gentle",550.0,,1.0
157,Welsh Springer Spaniel,Sporting,Gun,18.0,"Affectionate, Loyal, Active, Friendly, Playful, Stubborn, Intelligent",1300.0,31.0,4.0
158,English Toy Spaniel,Toy,Companion,5.0,"Affectionate, Gentle, Happy, Loving, Playful, Reserved",1400.0,,3.0
159,Manchester Terrier,Terrier,Terrier,6.0,"Active, Alert, Devoted, Discerning, Quiet, Loyal, Intelligent",800.0,32.0,3.0
160,German Pinscher,Working,Terrier,14.0,"Even-tempered, Familial, Courageous, Lively, Loving, Spirited",1500.0,,6.0
161,Australian Terrier,Terrier,Terrier,5.0,"Alert, Compassionate, Courageous, Even Tempered, Loyal, Spirited, Intelligent",1250.0,34.0,3.0
162,Lakeland Terrier,Terrier,Terrier,8.0,"Independent, Bold, Confident, Friendly, Intelligent, Trainable",1500.0,62.0,3.0
163,Redbone Coonhound,Hound,Scenthound,28.0,"Affectionate, Companionable, Energetic, Familial, Independent, Unflappable",700.0,,1.0
164,Clumber Spaniel,Sporting,Gun,32.0,"Gentle, Loyal, Affectionate, Dignified, Aloof",1000.0,37.0,3.0
165,Beauceron,Herding,Herding,50.0,"Courageous, Obedient, Loyal, Protective, Loving",1350.0,,5.0
166,Puli,Herding,Herding,14.0,"Agile, Energetic, Faithful, Intelligent, Loyal, Obedient",1100.0,27.0,5.0
167,Xoloitzcuintle/Mexican Hairless,Non Sporting,Sight,11.0,"Aleret, Calm, Cheerful, Companionable, Loyal, Protective",700.0,,3.0
168,,,,,,,,
169,Field Spaniel,Sporting,Gun,19.0,"Adaptable, Cautious, Docile, Familial, Sensitive, Sociable",900.0,34.0,3.0
170,,,,,,,,
